"","SampleID","StationCode","SampleDate","Replicate","SampleType","D_ValveCount","S_EntityCount","S_Biovolume","D_NumberTaxa","S_NumberTaxa","H_NumberTaxa","UnrecognizedTaxa","D_ASCI","S_ASCI","H_ASCI","D_cnt.spp.most.tol_pct_att","D_cnt.spp.most.tol_pred","D_cnt.spp.most.tol_raw","D_cnt.spp.most.tol_scr","D_EpiRho.richness_pct_att","D_EpiRho.richness_pred","D_EpiRho.richness_raw","D_EpiRho.richness_scr","D_prop.spp.IndicatorClass_TN_low_pct_att","D_prop.spp.IndicatorClass_TN_low_pred","D_prop.spp.IndicatorClass_TN_low_raw","D_prop.spp.IndicatorClass_TN_low_scr","D_prop.spp.Planktonic_pct_att","D_prop.spp.Planktonic_pred","D_prop.spp.Planktonic_raw","D_prop.spp.Planktonic_scr","D_prop.spp.Trophic.E_pct_att","D_prop.spp.Trophic.E_pred","D_prop.spp.Trophic.E_raw","D_prop.spp.Trophic.E_scr","D_Salinity.BF.richness_pct_att","D_Salinity.BF.richness_pred","D_Salinity.BF.richness_raw","D_Salinity.BF.richness_scr","S_prop.spp.IndicatorClass_DOC_high_pct_att","S_prop.spp.IndicatorClass_DOC_high_raw","S_prop.spp.IndicatorClass_DOC_high_scr","S_prop.spp.IndicatorClass_NonRef_pct_att","S_prop.spp.IndicatorClass_NonRef_raw","S_prop.spp.IndicatorClass_NonRef_scr","S_prop.spp.IndicatorClass_TP_high_pct_att","S_prop.spp.IndicatorClass_TP_high_raw","S_prop.spp.IndicatorClass_TP_high_scr","S_prop.spp.ZHR_pct_att","S_prop.spp.ZHR_raw","S_prop.spp.ZHR_scr","H_cnt.spp.IndicatorClass_TP_high_pct_att","H_cnt.spp.IndicatorClass_TP_high_pred","H_cnt.spp.IndicatorClass_TP_high_raw","H_cnt.spp.IndicatorClass_TP_high_scr","H_cnt.spp.most.tol_pct_att","H_cnt.spp.most.tol_pred","H_cnt.spp.most.tol_raw","H_cnt.spp.most.tol_scr","H_EpiRho.richness_pct_att","H_EpiRho.richness_pred","H_EpiRho.richness_raw","H_EpiRho.richness_scr","H_OxyRed.DO_30.richness_pct_att","H_OxyRed.DO_30.richness_pred","H_OxyRed.DO_30.richness_raw","H_OxyRed.DO_30.richness_scr","H_prop.spp.Planktonic_pct_att","H_prop.spp.Planktonic_pred","H_prop.spp.Planktonic_raw","H_prop.spp.Planktonic_scr","H_prop.spp.Trophic.E_pct_att","H_prop.spp.Trophic.E_pred","H_prop.spp.Trophic.E_raw","H_prop.spp.Trophic.E_scr","H_prop.spp.ZHR_pct_att","H_prop.spp.ZHR_raw","H_prop.spp.ZHR_scr","H_Salinity.BF.richness_pct_att","H_Salinity.BF.richness_pred","H_Salinity.BF.richness_raw","H_Salinity.BF.richness_scr","Comments","version_number"
"1","102PS0331_7/11/17_1","102PS0331","7/11/17",1,"Integrated",14,0,0,14,0,14,"Gomphonema elegantissimum, Gomphadelpha kociolekii, Hannaea librata, Cocconeis euglypta, Stephanocyclus meneghinianus",1.06015952841187,NA,NA,0.214285714285714,2.21182151010636,0,0.912407525185154,1,0.9921,2,0.971173496984174,0.571428571428571,0.45286914340119,0.75,1,0.857142857142857,0.00153589405163965,0.0833333333333333,0,0.714285714285714,0.490647735828329,0.2,1,0.714285714285714,1.02467156800617,0,0.904348416563259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning - Only Diatom data present","2.5.5"
"2","103WER029_6/20/17_1","103WER029","6/20/17",1,"Integrated",16,0,0,16,0,16,"Gomphonema elegantissimum, Eunotia glacialis, Iconella, Planothidium lanceolatum group1",1.12399594072583,NA,NA,0.25,2.0621853694178,2,0.714496852472861,1,0.272066666666667,1,0.909782503822775,0.4375,0.382600216161003,0.571428571428571,1,1,0.0102199713894857,0,0.916830395261819,0.5,0.439212410267496,0.5,0.590022624818194,0.625,1.41178813188911,0,0.945097294152175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning - Only Diatom data present","2.5.5"
"3","103WER029_7/9/19_1","103WER029","7/9/19",1,"Integrated",33,0,0,33,0,33,"Stephanocyclus meneghinianus, Gomphonema elegantissimum, Iconella, Planothidium lanceolatum group1, Gomphadelpha kociolekii, Nitzschia costei, Planothidium victori, Denticula kuetzingii var rumrichae, Mayamaea ectorii, Gomphonema subclavatum var mexicanum, Fragilaria heatherae",0.903633586542656,NA,NA,0.303030303030303,2.0621853694178,5,0.438295682005612,1,0.272066666666667,1,0.909782503822775,0.636363636363636,0.382600216161003,0.333333333333333,0.621626756991823,0.909090909090909,0.0102199713894857,0,0.916830395261819,0.666666666666667,0.439212410267496,0.590909090909091,0.354651440871813,0.696969696969697,1.41178813188911,1,0.83983474175662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning - Only Diatom data present","2.5.5"
"4","105CLCATC_7/9/19_1","105CLCATC","7/9/19",1,"Integrated",17,0,0,17,0,17,"Hannaea librata, Gomphonema elegantissimum, Gomphonella olivaceoides, Gomphonema maritimo-antarcticum, Planothidium lanceolatum group1",0.84412086005115,NA,NA,0.294117647058824,1.76214428404158,2,0.686872952816469,1,1.9699,0,0.318202550076164,0.705882352941177,0.494993860427943,0.416666666666667,0.559710214524957,0.882352941176471,0.00544950814661791,0,0.867891379377896,0.764705882352941,0.390690085030042,0.461538461538462,0.563974412574521,0.764705882352941,1.18152408312913,1,0.81559656025921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning - Only Diatom data present","2.5.5"
"5","105NC0459_7/12/17_1","105NC0459","7/12/17",1,"Integrated",16,0,0,16,0,16,"Planothidium lanceolatum group1, Gomphonema rosenstockianum, Cocconeis euglypta, Planothidium victori, Gomphadelpha kociolekii",1.07661943019955,NA,NA,0.25,2.39184544104474,1,0.836914741841836,1,1.2207,0,0.482486865148862,0.5625,0.367885186983292,0.444444444444444,0.889714719864412,0.875,0.0126860299572278,0,0.942129087081286,0.6875,0.387605591788922,0.363636363636364,0.809465063122677,0.6875,0.998141028132723,0,0.901555744219748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning - Only Diatom data present","2.5.5"
"6","105PS0090_9/13/23_1","105PS0090","9/13/23",1,"Integrated",33,0,0,33,0,33,"Gomphonema elegantissimum, Hannaea librata, Cocconeis euglypta, Gomphonema rosenstockianum, Gomphonema pumilum var pumilum, Achnanthidium delmontii, Fragilaria agnesiae, Planothidium lanceolatum group1, Gomphonella olivaceoides, Planothidium victori",0.821376774727973,NA,NA,0.272727272727273,2.24483525495599,3,0.639245833040897,1,1.5234,0,0.416110914571572,0.575757575757576,0.443442681288848,0.421052631578947,0.67889113323725,0.909090909090909,0.00670944078284416,0,0.880816720200747,0.545454545454545,0.361281143274706,0.5,0.388252104454315,0.606060606060606,1.1423812440464,2,0.706213732713798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning - Only Diatom data present","2.5.5"
"7","105PS0259_9/14/23_1","105PS0259","9/14/23",1,"Integrated",25,0,0,25,0,25,"Planothidium lanceolatum group1, Fragilaria agnesiae, Gomphonema pumilum var pumilum, Gomphonema rosenstockianum, Iconella, Cocconeis euglypta, Gomphonema elegantissimum, Gomphonella olivaceoides, Hannaea librata, Nitzschia nandorii, Planothidium victori, Gomphadelpha kociolekii",0.992038940778783,NA,NA,0.16,2.25624093988804,1,0.824430034528468,1,1.05503333333333,0,0.518814194118043,0.48,0.396071025659891,0.333333333333333,0.592925551753292,0.84,0.00434948333250262,0,0.856606493799712,0.52,0.47393758094579,0.461538461538462,0.779509090991394,0.56,1.05931905753929,0,0.907995499745614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning - Only Diatom data present","2.5.5"
"8","105PS0540_6/14/16_1","105PS0540","6/14/16",1,"Integrated",43,0,0,43,0,43,"Planothidium victori, Planothidium suncheonmanense, Navicula australoshetlandica, Conticribra weissflogii, Iconella, Cocconeis euglypta, Craticula importuna, Gedaniella flavovirens, Surirella solea, Bacillaria paxillifer, Stephanocyclus meneghinianus, Pseudofalcula hyalina",0.546362512203855,NA,NA,0.232558139534884,5.26234937139189,5,0.732925363016411,1,1.87293333333333,3,0.997304322148122,0.651162790697674,0.530824150445601,0.214285714285714,0.0521720625844776,0.976744186046512,0.00905819265633628,0.0476190476190476,0.416399826123656,0.651162790697674,0.334336152050329,0.714285714285714,0,0.674418604651163,1.98597554381248,7,0.268699859915742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning - Only Diatom data present","2.5.5"
"9","105PS0540_8/7/19_1","105PS0540","8/7/19",1,"Integrated",25,0,0,25,0,25,"Staurosira elliptica, Planothidium victori, Planothidium lanceolatum group1, Stephanocyclus meneghinianus, Nitzschia costei, Gomphonema elegantissimum, Gomphadelpha kociolekii",1.02250171836041,NA,NA,0.2,5.26234937139189,1,1,1,1.87293333333333,2,0.778024670422683,0.4,0.530824150445601,0.4,0.447859035253256,0.8,0.00905819265633628,0.05,0.391974217863389,0.56,0.334336152050329,0.214285714285714,1,0.56,1.98597554381248,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning - Only Diatom data present","2.5.5"
"10","105PS0540_9/18/18_1","105PS0540","9/18/18",1,"Integrated",39,0,0,39,0,39,"Surirella elliptica var hibernica, Fragilaria agnesiae, Planothidium lanceolatum group1, Pinnularia subcommutata, Nitzschia costei, Planothidium victori, Pinnularia septentrionalis, Iconella, Nitzschia nandorii, Fragilaria heatherae, Ulnaria danica, Gomphadelpha kociolekii, Gomphonema elegantissimum, Staurosira elliptica, Surirella lacrimula, Stephanocyclus meneghinianus, Navicula slesvicensis",0.939183558593671,NA,NA,0.282051282051282,5.26234937139189,6,0.640858306193995,1,1.87293333333333,3,0.997304322148122,0.512820512820513,0.530824150445601,0.35,0.341327927227046,0.897435897435897,0.00905819265633628,0.0285714285714286,0.61180469220579,0.615384615384615,0.334336152050329,0.333333333333333,0.750003122344374,0.615384615384615,1.98597554381248,1,0.900275174289071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning - Only Diatom data present","2.5.5"
